Time,Trust
6.500000,166.443039
6.510000,167.042068
6.520000,167.646133
6.530000,168.255234
6.540000,168.869431
6.550000,169.488739
6.560000,170.113190
6.570000,170.742813
6.580000,171.377625
6.590000,172.017654
6.600000,172.662933
6.610000,173.313507
6.620000,173.969376
6.630000,174.630585
6.640000,175.297150
6.650000,175.969116
6.660000,176.646515
6.670000,177.329346
6.680000,178.017670
6.690000,178.711487
6.700000,179.410843
6.710000,180.115768
6.720000,180.826279
6.730000,181.542419
6.740000,182.264221
6.750000,182.991684
6.760000,183.724869
6.770000,184.463791
6.780000,185.208466
6.790000,185.958954
6.800000,186.715271
6.810000,187.477432
6.820000,188.245483
6.830000,189.019440
6.840000,189.799362
6.850000,190.585236
6.860000,191.377121
6.870000,192.175049
6.880000,192.979034
6.890000,193.789108
6.900000,194.605301
6.910000,195.427643
6.920000,196.256180
6.930000,197.090927
6.940000,197.931915
6.950000,198.779160
6.960000,199.632721
6.970000,200.492615
6.980000,201.358871
6.990000,202.231522
7.000000,203.110596
7.010000,203.996124
7.020000,204.888138
7.030000,205.786667
7.040000,206.691742
7.050000,207.603378
7.060000,208.521637
7.070000,209.446533
7.080000,210.378082
7.090000,211.316345
7.100000,212.261337
7.110000,213.213074
7.120000,214.171616
7.130000,215.136978
7.140000,216.109192
7.150000,217.088287
7.160000,218.074295
7.170000,219.067245
7.180000,220.067184
7.190000,221.074127
7.200000,222.088104
7.210000,223.109161
7.220000,224.137299
7.230000,225.172592
7.240000,226.215042
7.250000,227.264679
7.260000,228.321548
7.270000,229.385681
7.280000,230.457092
7.290000,231.535828
7.300000,232.621918
7.310000,233.715393
7.320000,234.816284
7.330000,235.924622
7.340000,237.040436
7.350000,238.163757
7.360000,239.294617
7.370000,240.433060
7.380000,241.579102
7.390000,242.732773
7.400000,243.894119
7.410000,245.063171
7.420000,246.239944
7.430000,247.424484
7.440000,248.616821
7.450000,249.816986
7.460000,251.025009
7.470000,252.240921
7.480000,253.464752
7.490000,254.696533
7.500000,255.936310
7.510000,257.184082
7.520000,258.439941
7.530000,259.703857
7.540000,260.975891
7.550000,262.256073
7.560000,263.544434
7.570000,264.840973
7.580000,266.145782
7.590000,267.458862
7.600000,268.780243
7.610000,270.109985
7.620000,271.448059
7.630000,272.794556
7.640000,274.149475
7.650000,275.512848
7.660000,276.884735
7.670000,278.265167
7.680000,279.654144
7.690000,281.051697
7.700000,282.457886
7.710000,283.872742
7.720000,285.296265
7.730000,286.728516
7.740000,288.169525
7.750000,289.619324
7.760000,291.077911
7.770000,292.545380
7.780000,294.021698
7.790000,295.506958
7.800000,297.001129
7.810000,298.504303
7.820000,300.016479
7.830000,301.537689
7.840000,303.067963
7.850000,304.607361
7.860000,306.155853
7.870000,307.713562
7.880000,309.280426
7.890000,310.856537
7.900000,312.441925
7.910000,314.036591
7.920000,315.640564
7.930000,317.253937
7.940000,318.876648
7.950000,320.508820
7.960000,322.150421
7.970000,323.801514
7.980000,325.462128
7.990000,327.132263
8.000000,328.812012
8.010000,330.501343
8.020000,332.200317
8.030000,333.908966
8.040000,335.627319
8.050000,337.355408
8.060000,339.093262
8.070000,340.840881
8.080000,342.598358
8.090000,344.365692
8.100000,346.142914
8.110000,347.930084
8.120000,349.727173
8.130000,351.534241
8.140000,353.351349
8.150000,355.178497
8.160000,357.015686
8.170000,358.863037
8.180000,360.720490
8.190000,362.588104
8.200000,364.465942
8.210000,366.354004
8.220000,368.252319
8.230000,370.160919
8.240000,372.079834
8.250000,374.009125
8.260000,375.948761
8.270000,377.898834
8.280000,379.859344
8.290000,381.830353
8.300000,383.811829
8.310000,385.803864
8.320000,387.806427
8.330000,389.819611
8.340000,391.843414
8.350000,393.877838
8.360000,395.922974
8.370000,397.978821
8.380000,400.045410
8.390000,402.122772
8.400000,404.210907
8.410000,406.309875
8.420000,408.419739
8.430000,410.540466
8.440000,412.672089
8.450000,414.814697
8.460000,416.968262
8.470000,419.132812
8.480000,421.308411
8.490000,423.495087
8.500000,425.692841
8.510000,427.901703
8.520000,430.121704
8.530000,432.352905
8.540000,434.595306
8.550000,436.848938
8.560000,439.113800
8.570000,441.389984
8.580000,443.677490
8.590000,445.976318
8.600000,448.286530
8.610000,450.608124
8.620000,452.941162
8.630000,455.285645
8.640000,457.641602
8.650000,460.009064
8.660000,462.388092
8.670000,464.778656
8.680000,467.180817
8.690000,469.594604
8.700000,472.020020
8.710000,474.457123
8.720000,476.905914
8.730000,479.366425
8.740000,481.838684
8.750000,484.322723
8.760000,486.818573
8.770000,489.326233
8.780000,491.845764
8.790000,494.377167
8.800000,496.920471
8.810000,499.475708
8.820000,502.042877
8.830000,504.622070
8.840000,507.213226
8.850000,509.816437
8.860000,512.431702
8.870000,515.059021
8.880000,517.698486
